"","Apartment_Midrise","HealthCare","Home_Avg","Home_High","Hospital","Hotel_Large","Hotel_Small","Office_Large","Office_Medium","Office_Small","Restaurant_Fast","Restaurant_Full","Retail_Only","School_Primary","School_Secondary","StripMall","Supermarket","Warehouse","Data_Center"
"A",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"G",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"H",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"I",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"J",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"K",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"L",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"M",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"N",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"O",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"R",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"U",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"V",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Y",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
